Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
flexon-bed-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/bed-table/3%20-%20Flexon1.jpeg,2,"Flexon Bed Table, view 2",,,
flexon-bed-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/bed-table/3%20-%20Flexon2.jpeg,3,"Flexon Bed Table, view 3",,,
exquisite-primex-folding-table,Exquisite Primex Folding Table,"<p>Mid-size Exquisite folding table with reinforced frame and larger surface area. Perfect for dining, work, or events with quick setup and takedown.</p><ul><li>Reinforced frame</li><li>Larger surface</li><li>Quick setup</li><li>Durable finish</li><li>Stable locking legs</li><li>Seats up to 6 people</li></ul>",HeavenCraft,Folding Table,"Tables, Folding Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-folding-002,,,,continue,manual,6999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex.jpeg,1,Exquisite Primex Folding Table — folding table by HeavenCraft,Exquisite Primex Folding Table,"Mid-size Exquisite folding table with reinforced frame and larger surface area. Perfect for dining, work, or events with quick setup and takedown.",active
exquisite-primex-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex1.jpeg,2,"Exquisite Primex Folding Table, view 2",,,
exquisite-primex-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex2.jpeg,3,"Exquisite Primex Folding Table, view 3",,,
exquisite-primex-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex3.jpeg,4,"Exquisite Primex Folding Table, view 4",,,
exquisite-primex-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex4.jpeg,5,"Exquisite Primex Folding Table, view 5",,,
exquisite-primex-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/2%20-%20Exquisite%20Primex5.jpeg,6,"Exquisite Primex Folding Table, view 6",,,
nextable-folding-table,Nextable Folding Table,"<p>The Exquisite Pro is the ultimate folding table for professionals and families alike. Features a waterproof anti-scratch tabletop, one-click fold mechanism, and carry handle — the easiest fold-and-go table in the range.</p><ul><li>One-click fold mechanism</li><li>Waterproof &amp; anti-scratch surface</li><li>Carry handle for portability</li><li>Reinforced heavy-duty legs</li><li>Non-slip rubber feet</li><li>Seats up to 8 people</li></ul>",HeavenCraft,Folding Table,"Tables, Folding Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-folding-004,,,,continue,manual,9999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable.jpeg,1,Nextable Folding Table — folding table by HeavenCraft,Nextable Folding Table,"The Exquisite Pro is the ultimate folding table for professionals and families alike. Features a waterproof anti-scratch tabletop, one-click fold mechan…",active
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable1.jpeg,2,"Nextable Folding Table, view 2",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable2.jpeg,3,"Nextable Folding Table, view 3",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable3.jpeg,4,"Nextable Folding Table, view 4",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable4.jpeg,5,"Nextable Folding Table, view 5",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable5.jpeg,6,"Nextable Folding Table, view 6",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable6.jpeg,7,"Nextable Folding Table, view 7",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable7.jpeg,8,"Nextable Folding Table, view 8",,,
nextable-folding-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/folding-table/4%20-%20Nextable8.jpeg,9,"Nextable Folding Table, view 9",,,
modura-height-adjustable-table,Modura Height Adjustable Table,<p>Advanced Modura sit-stand desk with dual motor system for enhanced stability. Features programmable height memory and whisper-quiet operation.</p><ul><li>Dual motor system</li><li>4 memory presets</li><li>Anti-collision</li><li>Quiet operation</li><li>Wide height range (60–125 cm)</li><li>Heavy-duty steel frame</li></ul>,HeavenCraft,Height-Adjustable Table,"Tables, Height-Adjustable Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-height-adjustable-002,,,,continue,manual,8999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/height-adjustable-table/2%20-%20Modura.jpeg,1,Modura Height Adjustable Table — height-adjustable table by HeavenCraft,Modura Height Adjustable Table,Advanced Modura sit-stand desk with dual motor system for enhanced stability. Features programmable height memory and whisper-quiet operation.,active
modura-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/2%20-%20Modura1.jpeg,2,"Modura Height Adjustable Table, view 2",,,
modura-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/2%20-%20Modura2.jpeg,3,"Modura Height Adjustable Table, view 3",,,
modura-primex-height-adjustable-table,Modura Primex Height Adjustable Table,<p>Premium Modura Primex standing desk with maximum stability and load capacity. Professional-grade with triple motor system and smart control features.</p><ul><li>Triple motor system</li><li>Smart controls</li><li>High load capacity</li><li>Premium materials</li><li>Programmable height display</li><li>USB charging port integrated</li></ul>,HeavenCraft,Height-Adjustable Table,"Tables, Height-Adjustable Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-height-adjustable-003,,,,continue,manual,10999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/height-adjustable-table/3%20-%20Modura%20primex.jpeg,1,Modura Primex Height Adjustable Table — height-adjustable table by HeavenCraft,Modura Primex Height Adjustable Table,Premium Modura Primex standing desk with maximum stability and load capacity. Professional-grade with triple motor system and smart control features.,active
modura-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/3%20-%20Modura%20primex1.jpeg,2,"Modura Primex Height Adjustable Table, view 2",,,
modura-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/3%20-%20Modura%20primex2.jpeg,3,"Modura Primex Height Adjustable Table, view 3",,,
modura-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/3%20-%20Modura%20primex3.jpeg,4,"Modura Primex Height Adjustable Table, view 4",,,
modulus-primex-height-adjustable-table,Modulus Primex Height Adjustable Table,"<p>The flagship Modulus Primex is the pinnacle of sit-stand desk engineering. Features an AI-powered posture reminder, 6 memory presets, ultra-wide surface for multi-monitor setups, and a built-in wireless charging pad — redefining what a height adjustable desk can be.</p><ul><li>AI posture reminder system</li><li>6 memory height presets</li><li>Ultra-wide XL surface (160 cm)</li><li>Built-in wireless charging pad</li><li>Dual motor with anti-collision</li><li>Integrated cable spine management</li></ul>",HeavenCraft,Height-Adjustable Table,"Tables, Height-Adjustable Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-height-adjustable-005,,,,continue,manual,15999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/height-adjustable-table/5%20-%20Modulus%20primex.jpeg,1,Modulus Primex Height Adjustable Table — height-adjustable table by HeavenCraft,Modulus Primex Height Adjustable Table,"The flagship Modulus Primex is the pinnacle of sit-stand desk engineering. Features an AI-powered posture reminder, 6 memory presets, ultra-wide surface…",active
modulus-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/5%20-%20Modulus%20primex1.jpeg,2,"Modulus Primex Height Adjustable Table, view 2",,,
modulus-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/5%20-%20Modulus%20primex2.jpeg,3,"Modulus Primex Height Adjustable Table, view 3",,,
modulus-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/5%20-%20Modulus%20primex3.jpeg,4,"Modulus Primex Height Adjustable Table, view 4",,,
modulus-primex-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/5%20-%20Modulus%20primex4.jpeg,5,"Modulus Primex Height Adjustable Table, view 5",,,
movix-height-adjustable-table,Movix Height Adjustable Table,<p>Premium Modvix standing desk with maximum stability and load capacity. Professional-grade with triple motor system and smart control features.</p><ul><li>Triple motor system</li><li>Smart controls</li><li>High load capacity</li><li>Premium materials</li><li>Programmable height display</li><li>USB charging port integrated</li></ul>,HeavenCraft,Height-Adjustable Table,"Tables, Height-Adjustable Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-height-adjustable-006,,,,continue,manual,19999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix.jpeg,1,Movix Height Adjustable Table — height-adjustable table by HeavenCraft,Movix Height Adjustable Table,Premium Modvix standing desk with maximum stability and load capacity. Professional-grade with triple motor system and smart control features.,active
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix1.jpeg,2,"Movix Height Adjustable Table, view 2",,,
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix2.jpeg,3,"Movix Height Adjustable Table, view 3",,,
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix3.jpeg,4,"Movix Height Adjustable Table, view 4",,,
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix4.jpeg,5,"Movix Height Adjustable Table, view 5",,,
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix5.jpeg,6,"Movix Height Adjustable Table, view 6",,,
movix-height-adjustable-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/height-adjustable-table/6%20-%20Movix6.jpeg,7,"Movix Height Adjustable Table, view 7",,,
imperium-executive-table,Imperium Executive Table,"<p>Luxury Imperium executive desk with expansive surface and premium craftsmanship. Features built-in filing system, integrated lighting, and executive-grade finish.</p><ul><li>Built-in filing</li><li>Integrated lighting</li><li>Expansive surface</li><li>Luxury finish</li><li>Executive leather inlay</li><li>Solid wood construction</li></ul>",HeavenCraft,Executive Table,"Tables, Executive Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-executive-003,,,,continue,manual,13999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium.jpeg,1,Imperium Executive Table — executive table by HeavenCraft,Imperium Executive Table,"Luxury Imperium executive desk with expansive surface and premium craftsmanship. Features built-in filing system, integrated lighting, and executive-gra…",active
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium1.jpeg,2,"Imperium Executive Table, view 2",,,
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium2.jpeg,3,"Imperium Executive Table, view 3",,,
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium3.jpeg,4,"Imperium Executive Table, view 4",,,
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium4.jpeg,5,"Imperium Executive Table, view 5",,,
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium5.jpeg,6,"Imperium Executive Table, view 6",,,
imperium-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/1%20-%20Imperium6.jpeg,7,"Imperium Executive Table, view 7",,,
signature-executive-table,Signature Executive Table,"<p>Luxury Signature executive desk with expansive surface and premium craftsmanship. Features built-in filing system, integrated lighting, and executive-grade finish.</p><ul><li>Built-in filing</li><li>Integrated lighting</li><li>Expansive surface</li><li>Luxury finish</li><li>Executive leather inlay</li><li>Solid wood construction</li></ul>",HeavenCraft,Executive Table,"Tables, Executive Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-executive-004,,,,continue,manual,15999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo.jpeg,1,Signature Executive Table — executive table by HeavenCraft,Signature Executive Table,"Luxury Signature executive desk with expansive surface and premium craftsmanship. Features built-in filing system, integrated lighting, and executive-gr…",active
signature-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo1.jpeg,2,"Signature Executive Table, view 2",,,
signature-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo2.jpeg,3,"Signature Executive Table, view 3",,,
signature-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo3.jpeg,4,"Signature Executive Table, view 4",,,
signature-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo4.jpeg,5,"Signature Executive Table, view 5",,,
signature-executive-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/executive-table/2%20-%20Curvivo5.jpeg,6,"Signature Executive Table, view 6",,,
zenith-study-table,Zenith Study Table,"<p>Enhanced Zenith study desk with multi-level storage and ergonomic design. Features keyboard tray, CPU stand, and adjustable shelving for comprehensive study setup.</p><ul><li>Multi-level storage</li><li>Keyboard tray</li><li>CPU stand</li><li>Adjustable shelves</li><li>Cable management system</li><li>Ergonomic monitor riser</li></ul>",HeavenCraft,Study Table,"Tables, Study Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-study-003,,,,continue,manual,8499.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/study-table/3%20-%20Zenith.jpeg,1,Zenith Study Table — study table by HeavenCraft,Zenith Study Table,"Enhanced Zenith study desk with multi-level storage and ergonomic design. Features keyboard tray, CPU stand, and adjustable shelving for comprehensive s…",active
zenith-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/3%20-%20Zenith1.jpeg,2,"Zenith Study Table, view 2",,,
zenith-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/3%20-%20Zenith2.jpeg,3,"Zenith Study Table, view 3",,,
zenith-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/3%20-%20Zenith3.jpeg,4,"Zenith Study Table, view 4",,,
zenith-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/3%20-%20Zenith4.jpeg,5,"Zenith Study Table, view 5",,,
zenvy-primex-study-table,Zenvy Primex Study Table,"<p>Premium Zenvy Primex study workstation with complete organization system. Includes hutch with LED lighting, cable management, and extensive storage for serious students.</p><ul><li>LED lighting</li><li>Hutch design</li><li>Extensive storage</li><li>Cable management</li><li>Pinboard included</li><li>Solid engineered wood frame</li></ul>",HeavenCraft,Study Table,"Tables, Study Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-study-006,,,,continue,manual,9999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/study-table/6%20-%20Zenvy%20primex.jpeg,1,Zenvy Primex Study Table — study table by HeavenCraft,Zenvy Primex Study Table,"Premium Zenvy Primex study workstation with complete organization system. Includes hutch with LED lighting, cable management, and extensive storage for…",active
zenvy-primex-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/6%20-%20Zenvy%20primex1.jpeg,2,"Zenvy Primex Study Table, view 2",,,
zenvy-primex-study-table,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/study-table/6%20-%20Zenvy%20primex2.jpeg,3,"Zenvy Primex Study Table, view 3",,,
quantum-gaming-desk,Quantum Gaming Desk,"<p>The Quantum Gaming Desk is engineered for serious gamers who demand performance and style. Features a spacious carbon-fibre texture surface, built-in RGB LED strip, cable management cutouts, and a headphone hook — everything a modern gaming battlestation needs.</p><ul><li>Large carbon-fibre texture surface</li><li>Built-in RGB LED strip</li><li>Cable management cutouts</li><li>Headphone hook included</li><li>Cup holder slot</li><li>Heavy-duty steel frame</li></ul>",HeavenCraft,Gaming Desk,"Tables, Gaming Desks, Ergonomic, Delhi",TRUE,Title,Default Title,table-gaming-desk-001,,,,continue,manual,9999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum1.jpeg,1,"Quantum Gaming Desk, view 2",Quantum Gaming Desk,"The Quantum Gaming Desk is engineered for serious gamers who demand performance and style. Features a spacious carbon-fibre texture surface, built-in RG…",active
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum2.jpeg,2,"Quantum Gaming Desk, view 3",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum3.jpeg,3,"Quantum Gaming Desk, view 4",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum4.jpeg,4,"Quantum Gaming Desk, view 5",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum5.jpeg,5,"Quantum Gaming Desk, view 6",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum6.jpeg,6,"Quantum Gaming Desk, view 7",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum7.jpeg,7,"Quantum Gaming Desk, view 8",,,
quantum-gaming-desk,,,,,,,,,,,,,,,,,,,https://theheavencraft.in/images/products/tables/gaming-desk/1%20-%20Quantum.jpeg,8,Quantum Gaming Desk — gaming desk by HeavenCraft,,,
